data_date,avg_final_slump,machine_count,plus_count,minus_count
2026-08-14,454,50,21,27
2026-08-15,8,50,18,31
2026-08-16,238,50,20,29
2026-08-17,150,50,21,29
2026-08-18,404,50,26,22
2026-08-19,274,50,22,27
2026-08-20,-94,50,20,29
2026-08-21,-198,50,20,28
2026-08-22,702,50,25,25
2026-08-23,550,50,24,25
2026-08-24,-168,50,18,31
2026-08-25,-478,50,13,36
2026-08-26,192,50,23,27
2026-08-27,260,50,17,29
2026-08-28,488,50,26,24
2026-08-29,102,50,23,26
