machine_code,unit_number,data_date,sampled_at_jst,slump_value
M0031,2016,2026-08-14,2026-08-14T10:54:41+09:00,0
M0031,2016,2026-08-14,2026-08-14T11:29:45+09:00,300
M0031,2016,2026-08-14,2026-08-14T12:04:15+09:00,1300
M0031,2016,2026-08-14,2026-08-14T12:37:28+09:00,800
M0031,2016,2026-08-14,2026-08-14T13:06:37+09:00,500
M0031,2016,2026-08-14,2026-08-14T13:35:02+09:00,700
M0031,2016,2026-08-14,2026-08-14T14:10:37+09:00,2500
M0031,2016,2026-08-14,2026-08-14T14:55:41+09:00,3300
M0031,2016,2026-08-14,2026-08-14T15:31:41+09:00,4100
M0031,2016,2026-08-14,2026-08-14T16:41:57+09:00,3900
M0031,2016,2026-08-14,2026-08-14T17:30:37+09:00,3300
M0031,2016,2026-08-14,2026-08-14T18:07:43+09:00,4100
M0031,2016,2026-08-14,2026-08-14T18:43:04+09:00,4800
M0031,2016,2026-08-14,2026-08-14T19:31:33+09:00,5600
M0031,2016,2026-08-14,2026-08-14T20:09:17+09:00,5300
M0031,2016,2026-08-14,2026-08-14T20:55:41+09:00,6000
M0031,2016,2026-08-14,2026-08-14T21:33:02+09:00,6500
M0031,2016,2026-08-14,2026-08-14T22:11:45+09:00,6200
M0032,2017,2026-08-14,2026-08-14T10:54:41+09:00,0
M0032,2017,2026-08-14,2026-08-14T11:29:45+09:00,-600
M0032,2017,2026-08-14,2026-08-14T12:04:15+09:00,-500
M0032,2017,2026-08-14,2026-08-14T12:37:28+09:00,100
M0032,2017,2026-08-14,2026-08-14T13:06:37+09:00,500
M0032,2017,2026-08-14,2026-08-14T13:35:02+09:00,100
M0032,2017,2026-08-14,2026-08-14T14:10:37+09:00,-900
M0032,2017,2026-08-14,2026-08-14T14:55:41+09:00,-1500
M0032,2017,2026-08-14,2026-08-14T15:31:41+09:00,-1800
M0032,2017,2026-08-14,2026-08-14T16:41:57+09:00,-2300
M0032,2017,2026-08-14,2026-08-14T17:30:37+09:00,-1600
M0032,2017,2026-08-14,2026-08-14T18:07:43+09:00,-1700
M0032,2017,2026-08-14,2026-08-14T18:43:04+09:00,0
M0032,2017,2026-08-14,2026-08-14T19:31:33+09:00,900
M0032,2017,2026-08-14,2026-08-14T20:09:17+09:00,2800
M0032,2017,2026-08-14,2026-08-14T20:55:41+09:00,3300
M0032,2017,2026-08-14,2026-08-14T21:33:02+09:00,4100
M0032,2017,2026-08-14,2026-08-14T22:11:45+09:00,4000
M0032,2017,2026-08-14,2026-08-14T23:00:09+09:00,4700
M0032,2017,2026-08-14,2026-08-14T23:38:17+09:00,5800
M0033,2018,2026-08-14,2026-08-14T10:54:41+09:00,0
M0033,2018,2026-08-14,2026-08-14T11:29:45+09:00,300
M0033,2018,2026-08-14,2026-08-14T12:04:15+09:00,900
M0033,2018,2026-08-14,2026-08-14T12:37:28+09:00,1900
