data_date,sampled_at_jst,avg_slump_value,machine_count
2026-08-14,2026-08-14T11:00:00+09:00,-108,50
2026-08-14,2026-08-14T11:20:00+09:00,-108,50
2026-08-14,2026-08-14T11:40:00+09:00,-242,50
2026-08-14,2026-08-14T12:00:00+09:00,-242,50
2026-08-14,2026-08-14T12:20:00+09:00,-288,50
2026-08-14,2026-08-14T12:40:00+09:00,-284,50
2026-08-14,2026-08-14T13:00:00+09:00,-284,50
2026-08-14,2026-08-14T13:20:00+09:00,-328,50
2026-08-14,2026-08-14T13:40:00+09:00,-364,50
2026-08-14,2026-08-14T14:00:00+09:00,-364,50
2026-08-14,2026-08-14T14:20:00+09:00,-312,50
2026-08-14,2026-08-14T14:40:00+09:00,-312,50
2026-08-14,2026-08-14T15:00:00+09:00,-304,50
2026-08-14,2026-08-14T15:20:00+09:00,-304,50
2026-08-14,2026-08-14T15:40:00+09:00,-226,50
2026-08-14,2026-08-14T16:00:00+09:00,-226,50
2026-08-14,2026-08-14T16:20:00+09:00,-88,50
2026-08-14,2026-08-14T16:40:00+09:00,-88,50
2026-08-14,2026-08-14T17:00:00+09:00,-66,50
2026-08-14,2026-08-14T17:20:00+09:00,-66,50
2026-08-14,2026-08-14T17:40:00+09:00,-66,50
2026-08-14,2026-08-14T18:00:00+09:00,-66,50
2026-08-14,2026-08-14T18:20:00+09:00,-12,50
2026-08-14,2026-08-14T18:40:00+09:00,-12,50
2026-08-14,2026-08-14T19:00:00+09:00,38,50
2026-08-14,2026-08-14T19:20:00+09:00,38,50
2026-08-14,2026-08-14T19:40:00+09:00,-28,50
2026-08-14,2026-08-14T20:00:00+09:00,-28,50
2026-08-14,2026-08-14T20:20:00+09:00,-22,50
2026-08-14,2026-08-14T20:40:00+09:00,-22,50
2026-08-14,2026-08-14T21:00:00+09:00,54,50
2026-08-14,2026-08-14T21:20:00+09:00,54,50
2026-08-14,2026-08-14T21:40:00+09:00,112,50
2026-08-14,2026-08-14T22:00:00+09:00,112,50
2026-08-14,2026-08-14T22:20:00+09:00,300,50
2026-08-14,2026-08-14T22:40:00+09:00,300,50
2026-08-14,2026-08-14T23:00:00+09:00,300,50
2026-08-14,2026-08-14T23:20:00+09:00,406,50
2026-08-14,2026-08-14T23:40:00+09:00,454,50
2026-08-15,2026-08-15T11:00:00+09:00,-98,50
2026-08-15,2026-08-15T11:20:00+09:00,-98,50
2026-08-15,2026-08-15T11:40:00+09:00,-232,50
2026-08-15,2026-08-15T12:00:00+09:00,-232,50
2026-08-15,2026-08-15T12:20:00+09:00,-342,50
2026-08-15,2026-08-15T12:40:00+09:00,-344,50
2026-08-15,2026-08-15T13:00:00+09:00,-344,50
